bairro;logradouro;zona;codigo_bairro;codigo_logradouro;area_original
Campo;R.13 DE MAIO;3 / 2;15;79;Campo - 3 / 2
Campo;R.D. INOCENCIO;3;15;81;Campo - 3
Campo;R.DANILO BIAVATI;3;15;64;Campo - 3
Campo;R.DO CAMPO;3;15;83;Campo - 3
Campo;R.PEDRO VILLELA;3;15;159;Campo - 3
Campo;R.SANTA RITA;3;15;80;Campo - 3
Campo;R.SAO JOSE;3;15;82;Campo - 3
Cava;R.GUARITAPOLIS;3;14;63;Cava - 3
Cava;LOTEAMENTO SAO FRANCISCO;3;14;Cadastrado por lotes;Cava - 3
Centro;PCA CEL JOSE EUGENIO;1;1;32;Centro - 1
Centro;PCA GOV VALADARES;1;1;1;Centro - 1
Centro;R.BARAO DE S TOME;1;1;21;Centro - 1
Centro;R.DONA EDNEE;2;1;266;Centro - 2
Centro;CONDOMINIO VILLELA;2;1;321;Centro - 2
Centro;R.DR. CELSO P. VILLELA;1;1;34;Centro - 1
Centro;R.GERALDO FONSECA;1;1;71;Centro - 1
Centro;R.JOSE TEOD. DE MENEZES;2;1;22;Centro - 2
Centro;R.PRESIDENTE VARGAS;1;1;33;Centro - 1
Centro;R.SAO MARCELINO CHAMPAGNAT;1 / 2;1 - Centro - 4 - Cruzeiro;5 - Centro;Centro - 1 / 2
Centro;R.TONIQUINHO ARAUJO;2;1 - Centro - 6 - Morro;31 - Centro - 285 - Morro;Centro - 2
Centro / Cruzeiro;R.VISC DO RIO BRANCO;1 / 2;1 - Centro - 4 - Cruzeiro;6 - Centro - 9 - Cruzeiro   -    (+ variáveis);Centro / Cruzeiro - 1 / 2
Centro / Cruzeiro;R.PADRE FLAVIO;1 / 2;1 - Centro - 4 - Cruzeiro;35 - Centro - 119 - Cruzeiro;Centro / Cruzeiro - 1 / 2
Centro;R.CEL JOSE VILELA;1;1 - Centro - 3 - Estação;38 - Centro - 138 - Estação;Centro - 1
Centro / Estação;R.MAL FLORIANO PEIXOTO;1 / 2;1 - Centro - 3 - Estação;3 - Centro - 4 - Estação;Centro / Estação - 1 / 2
Centro / Morro;R.CEL SEVERINO EUGENIO;1 / 2;1 - Centro - 6 - Morro;56 - Centro - 57 - Morro;Centro / Morro - 1 / 2
Morro / Centro;R.CON.FRANCISCO L. RIBEIRO;2 / 1;1 - Centro - 6 - Morro;36 - Centro - 246 - Morro;Morro / Centro - 2 / 1
Morro;PCA FLOR AMARELA;2;6 - Morro;307;Morro - 2
Cidade Nova;CIDADE NOVA;2;10 - Cidade Nova;50 - Cidade Nova e Cadastro por lotes;Cidade Nova - 2
Cidade Nova;R.MAJOR DOMINGOS;2;10 - Cidade Nova;87;Cidade Nova - 2
Cidade Nova;R.VER. ALAOR REIS;2;10 - Cidade Nova;102;Cidade Nova - 2
Cidade Nova;R.COM. FCO. PENH DE ANDRADE;2;10 - Cidade Nova;228;Cidade Nova - 2
Cidade Nova;R.VER.JOSE DOMINGOS DOS SANTOS;2;10 - Cidade Nova;449 - Cidade Nova  - Cadastrado por lotes  - 193 - 234 - Criar;Cidade Nova - 2
Cidade Nova;R.DEL. SEVERINO MEIRELLES LIMA;2;10 - Cidade Nova;225;Cidade Nova - 2
Cidade Nova;R.ALBERTO RAMOS DE OLIVEIRA;2;10 - Cidade Nova;221;Cidade Nova - 2
Cidade Nova;PÇA. GERALDO AUGUSTO BOTELHO;2;10 - Cidade Nova;448;Cidade Nova - 2
Cidade Nova;R. VEREADOR JOSÉ LINDOLFO;2;10 - Cidade Nova;462;Cidade Nova - 2
Cidade Nova;R. JOSÉ VICENTE RIBEIRO;2;10 - Cidade Nova;383;Cidade Nova - 2
Cruzeiro;R.VER. JOTA JUNQUEIRA;1 / 2;1 - Centro - 4 - Cruzeiro;18 - Centro - 18 - Cruzeiro;Cruzeiro - 1 / 2
Cruzeiro;R.JOAQUIM MAX DE OLIVEIRA;2;4 - Cruzeiro;163;Cruzeiro - 2
Cruzeiro;R.VER. DINIZ GONÇALVES;2;4 - Cruzeiro;98;Cruzeiro - 2
Cidade Nova;R.JK;2;10 - Cidade Nova;88 - Cidade Nova - 45 - Cruzeiro;Cidade Nova - 2
Estação;PCA DR ROSENY SILVA;2;1 - Centro - 3 - Estação;1 0 - Centro - 103 - Estação;Estação - 2
Estação;R.HENRIQUE DE OLIVEIRA;2;3 - Estação;40;Estação - 2
Estação;R.MAL CASTELO BRANCO;2;3 - Estação;39;Estação - 2
Centro / Morro / Estação;R.SAO VICENTE FERRER;1 / 2 / 2;1 - Centro - 6 - Morro - 3 - Estação;42 - Centro - 131 - Morro - 12 - Estação;Centro / Morro/ Estação - 1 / 2 / 2
Centro / Morro / Estação;R.7 DE SETEMBRO;1 / 2 / 2;1- Centro - 6 - Morro - 3 - Estação;19 - Centro - 15 - Morro - 12 - Estação;Centro / Morro /  Estação - 1 / 2 / 2
Estação / Triângulo;R.CEL JOAO RIBEIRO;1 / 2;3 - Estação - 5 - Triângulo;11 - Centro  - 141 - Estação - 13 - Triângulo;Estação / Triângulo - 1/ 2
Estação / Triângulo;AV MINAS GERAIS;1 Parte Impar / 2 - Parte par;3 - Estação - 5 - Triângulo;17 - Estação - 137 - Triângulo;Estação / Triângulo - 1 Parte Impar / 2 - Parte par
Marista -2;MARISTA;;7 - Marista;46;Marista -2
Marista;R.DO CANTO;2;7 - Marista;265;Marista - 2
Marista;R.ANT.ALBERTO GODINHO;2;7 - Marista - 61 - Pe. Francisco;224 - Marista - 269 - Pe. Francisco;Marista - 2
Marista;R.MARIO COBUCCI;2;7 - Marista;47;Marista - 2
Morro;R.PEDRO I;1;6 - Morro;67 - Morro - 206 - Irmão Ilídio Gabriel;Morro - 1
Morro / Morro;AV D PEDRO II;2 / 1;6 - Morro;58;Morro / Morro - 2 / 1
Morro;PCA D. MARIA PROFESSORA;2;6 - Morro;60;Morro - 2
Morro / Morro;PCA TIRADENTES;2 / 1 - Trecho casa 25 + lote + 65;6 - Morro;68 - Morro - 241 - 242 - Irmão Ilídio Gabriel;Morro / Morro - 2 / 1 - Trecho casa 25 + lote + 65
Morro;R.FRANCISCO DE MELO;2;6 - Morro;24 - Morro - 23 - Centro;Morro - 2
Morro;R.FRANCISCO TEOFILO;2;6 - Morro;59;Morro - 2
Morro;R.MIGUEL COUTO;2;6 - Morro;26;Morro - 2
Morro;R.PE TERTULIANO;2;6 - Morro;65 - Morro - 190 - Travessa Pe. Tertuliano;Morro - 2
Morro Cava;R.ROSSINI FERREIRA;2 / 3;6 - Morro - 14 - Cava;61 - Morro - 166 - Vale do Sol - 296 (Pe. Francisco - Vale do Sol);Morro Cava - 2 / 3
Morro;R.SANTOS DUMONT;2;6 - Morro;27;Morro - 2
Morro / Marista;R.OSVALDO CRUZ;2;6 - Morro - 7 - Marista;28 - Morro - 29 - Marista;Morro / Marista - 2
Padre Francisco;R.ANT.LIBER. DE CARVALHO;2;23 - Pe. Francisco - 43 - Vale do Sol;127 - Pe. Francisco - 468 - Vale do Sol;Padre Francisco - 2
Padre Francisco;R.ARNE PAULSEN;2;23 - Pe. Francisco - 43 - Vale do Sol;156;Padre Francisco - 2
Padre Francisco;R.GERALDO C. CARVALHO;2;23 - Pe. Francisco - 43 - Vale do Sol;213;Padre Francisco - 2
Padre Francisco;R.JOSE DO C. DE CARVALHO;2;23 - Pe. Francisco - 43 - Vale do Sol;149;Padre Francisco - 2
Padre Francisco;R.SEBAST.T. DE CARVALHO;2;23 - Pe. Francisco - 43 - Vale do Sol;218;Padre Francisco - 2
Padre Francisco;LOTEAMENTO VALE DO SOL;2;23 - Pe. Francisco - 43 - Vale do Sol;162 - (Loteamento Vale do Sol) - R. (Rua) - 188 - (Pe. Francisco);Padre Francisco - 2
Marista;R. PROJETADA (Extensão Toniquinho Araújo);2;7 - Marista;450 - (Extensão da Toniquinho Araújo);Marista - 2
São Francisco;R. VICENTE FERRER GODINHO;3;94 - São Francisco;385 - São Francisco  - 471 - Morro;São Francisco - 3
Pau Lavrado;R.BOANERGES CARIELO;3;16;70;Pau Lavrado - 3
Pau Lavrado;R.GABRIEL H. DE OLIVEIRA;3;16;75;Pau Lavrado - 3
Pau Lavrado;TRAVESSA BOANERGES CARIELO 2;3;16;617;Pau Lavrado - 3
Pau Lavrado / Pau Lavrado;R.PAULO BARTHOLDY;3 / 2;16;69;Pau Lavrado / Pau Lavrado - 3 / 2
Tijuco;R.PRINCESA ISABEL;3;19;77;Tijuco - 3
Tijuco;R.SAO VICENTE DE PAULO;3;19;76;Tijuco - 3
Campo;R. PEDRO VILLELA;3;15 - Campo - 19 - Tijuco;159 - Campo;Campo - 3
Triângulo;R.TUPIS;2;5;44;Triângulo - 2
Vila Nova;R.DUQUE DE CAXIAS;2;9;49;Vila Nova - 2
Vila Nova;R.JOSE PEDRO DE OLIVEIRA;3;9;54;Vila Nova - 3
Vila Nova;R.PIUMHI;3;9;52;Vila Nova - 3
Vista Alegre;R.CEL ROZENDO;2;13;62;Vista Alegre - 2
Vista Alegre;R.CICERO VILELA;2;13;72;Vista Alegre - 2
Vista Alegre;R.FREDERICO OZANAN;2;13;84;Vista Alegre - 2
Vista Alegre;R.PE. JOAO RAMOS;2;13;66;Vista Alegre - 2
Irmão Ilídio Gabriel;R.VER.ANT. FERNANDES DA SILVA;2;66;455;Irmão Ilídio Gabriel - 2
Irmão Ilídio Gabriel;R.BRAZ LUIZ DE ALMEIDA;2;66;354 - Irmão Ilídio Gabriel - Cadastrado por lotes;Irmão Ilídio Gabriel - 2
Irmão Ilídio Gabriel;ALAMEDA B;2;66;553;Irmão Ilídio Gabriel - 2
Irmão Ilídio Gabriel;ALAMEDA D;2;66;1091;Irmão Ilídio Gabriel - 2
Parque Res. São Sebastião I;R.02;3;140;360;Parque Res. São Sebastião I - 3
Parque Res. São Sebastião I;R.03;3;140;374;Parque Res. São Sebastião I - 3
Parque Res. São Sebastião I;R.04;3;140;356;Parque Res. São Sebastião I - 3
Parque Res. São Sebastião I;R.05;3;140;358;Parque Res. São Sebastião I - 3
Parque Res. São Sebastião I;R.06;3;140;365;Parque Res. São Sebastião I - 3
Parque Res. São Sebastião I;R.07;3;140;373;Parque Res. São Sebastião I - 3
Parque Res. São Sebastião I;R13;3;140;372;Parque Res. São Sebastião I - 3
Cohab;R. IRMÃO ILÍDIO GABRIEL;;;478;Cohab
Cohab;R. NICEA TEREZINHA VILLELA;;;585;Cohab
Cohab;R. PASCHOALINA DE CALIXTO BOTELHO;;;1055;Cohab
